,Grand Total,,,Container,,,Dry Bulk,,,General Cargo,,,LNG/LPG,,,Passenger,,,Ro-Ro,,,Tanker,,
Registry,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT
Albania,14,29365,43301,,,,,,,13,27867,41066,,,,,,,1,1498,2235,,,
Algeria,26,657318,639641,,,,1,37327,64698,6,51512,63065,10,491168,478562,3,61707,12165,,,,6,15604,21151
Angola,8,10401,14659,,,,,,,1,1199,2260,,,,2,2000,609,1,1302,2063,4,5900,9727
Antigua & Barbuda,992,8628343,11121727,279,3976776,4945041,35,787433,1323127,645,3551719,4578072,15,102417,122468,,,,11,165586,87690,7,44412,65329
Argentina,32,292470,484807,2,25567,33299,,,,5,19257,36438,,,,3,6440,877,,,,22,241206,414193
Australia,48,746865,576356,,,,5,37900,47601,16,112100,151832,4,420040,267148,11,74314,16810,4,62579,36782,8,39932,56183
Azerbaijan,69,366456,394111,,,,1,2615,3280,18,57775,69289,,,,9,79421,29122,7,57162,39370,34,169483,253050
Bahamas,1141,52483094,67553798,51,1298896,1451407,268,9293892,16353965,204,3112973,4410299,99,7977320,6628583,133,7083696,726684,77,3817695,1330901,309,19898622,36651959
Bahrain,12,211079,256916,3,158329,179952,,,,9,52750,76964,,,,,,,,,,,,
Bangladesh,81,858606,1477737,4,7493,8530,26,653182,1146050,34,109428,165264,,,,,,,,,,17,88503,157893
Barbados,92,756832,1181706,,,,19,384329,658554,68,245673,326197,,,,,,,2,18765,8695,3,108065,188260
Belgium,93,4873764,7863874,,,,18,1292272,2471967,9,19092,27336,22,1248812,1129385,2,5033,350,9,168471,72762,33,2140084,4162074
Belize,250,1575549,2371258,3,11729,15391,68,863321,1446878,158,594403,806475,1,1605,1294,4,46773,16513,,,,16,57718,84707
Bermuda (British),129,9906311,8919353,5,179480,184079,11,979621,1932208,,,,49,4910853,3941370,27,2393663,227020,,,,37,1442694,2634676
Bolivia,22,57501,78614,,,,6,19081,35180,11,28957,37187,,,,2,3390,1145,3,6073,5102,,,
Brazil,87,2190895,3518365,17,546561,692155,11,324725,569865,9,51660,69931,10,68983,71088,1,1029,282,1,5119,5287,38,1192818,2109757
Brunei,8,615780,497862,,,,,,,,,,7,610835,491593,,,,,,,1,4945,6269
Bulgaria,12,112604,98805,,,,,,,5,36754,53746,2,4406,3800,1,25028,8058,3,44720,30673,1,1696,2528
Cambodia,362,1121055,1473032,4,12340,17659,25,146727,232557,315,890855,1149052,,,,1,6850,1118,7,35785,25857,10,28498,46789
Canada,158,2178330,2700130,2,16385,16657,54,1090177,1653960,9,52058,75335,,,,62,462040,94092,7,80013,53733,24,477657,806353
Cape Verde,9,20319,14482,,,,,,,2,3790,5887,,,,4,9727,2085,1,3910,2560,2,2892,3950
Cayman Islands (British),118,3330592,4391122,,,,26,826347,1390242,3,23002,36748,,,,1,5937,1000,16,903466,284990,72,1571840,2678142
Chile,48,607930,944405,3,29777,38206,9,213654,360249,13,32789,41317,,,,10,41502,9606,,,,13,290208,495027
China,2143,41339938,64962740,185,5563844,6727202,843,23656520,40774910,452,2957496,4106250,69,241114,218141,95,1084700,307954,28,401423,149189,471,7434841,12679094
Colombia,12,36411,53726,,,,,,,7,21357,29310,,,,,,,,,,5,15054,24416
Congo (Democratic Republic),11,23629,30146,,,,,,,9,21185,28108,,,,,,,1,1440,398,1,1004,1640
